Place,Time,Marking
Heat-sealing packaging,33.32,1
>New batch arrives,33.32,25
Heat-sealing packaging,33.32,1
>New batch arrives,33.32,24
>New batch arrives,34.5,25
>New batch arrives,34.5,26
>New batch arrives,36.0,27
>New batch arrives,36.0,28
Heat-sealing packaging,36.78,0
Sealer standby state,36.78,1
Sealer standby state,36.78,0
Heat-sealing packaging,36.78,1
>New batch arrives,36.78,27
Heat-sealing packaging,36.78,1
>New batch arrives,36.78,26
>New batch arrives,37.5,27
>New batch arrives,37.5,28
>New batch arrives,39.0,29
>New batch arrives,39.0,30
Heat-sealing packaging,40.23,0
Sealer standby state,40.23,1
Sealer standby state,40.23,0
Heat-sealing packaging,40.23,1
>New batch arrives,40.23,29
Heat-sealing packaging,40.23,1
>New batch arrives,40.23,28
>New batch arrives,40.5,29
>New batch arrives,40.5,30
>New batch arrives,42.0,31
>New batch arrives,42.0,32
>New batch arrives,43.5,33
>New batch arrives,43.5,34
Heat-sealing packaging,43.53,0
Sealer standby state,43.53,1
Sealer standby state,43.53,0
Heat-sealing packaging,43.53,1
>New batch arrives,43.53,33
Heat-sealing packaging,43.53,1
>New batch arrives,43.53,32
>New batch arrives,45.0,33
>New batch arrives,45.0,34
>New batch arrives,46.5,35
>New batch arrives,46.5,36
Heat-sealing packaging,47.31,0
Sealer standby state,47.31,1
Sealer standby state,47.31,0
Heat-sealing packaging,47.31,1
>New batch arrives,47.31,35
Heat-sealing packaging,47.31,1
>New batch arrives,47.31,34
>New batch arrives,48.0,35
>New batch arrives,48.0,36
>New batch arrives,49.5,37
>New batch arrives,49.5,38
>New batch arrives,51.0,39
>New batch arrives,51.0,40
Heat-sealing packaging,51.03,0
Sealer standby state,51.03,1
Sealer standby state,51.03,0
Heat-sealing packaging,51.03,1
>New batch arrives,51.03,39
Heat-sealing packaging,51.03,1
>New batch arrives,51.03,38
>New batch arrives,52.5,39
>New batch arrives,52.5,40
>New batch arrives,54.0,41
>New batch arrives,54.0,42
Heat-sealing packaging,54.56,0
Sealer standby state,54.56,1
Sealer standby state,54.56,0
Heat-sealing packaging,54.56,1
